weight_g	shellLength	gh	gw	a0	r0	c0	relFoot	Bold.Score
crab.low.WaveHab	1.00273725435099	0.843171274829288	-0.104357246450523	-0.32191112221066	-0.297568165813583	-0.335764187973417	0.152330577797241	0.012025256667641	0.29225460940658
Va.crab	0.0802201869375348	0.0377428319721215	0.0772943862291052	0.0530336282430231	0.130061083143584	0.0655817564512156	1.56731747310278e-13	0.0314546961946157	0.018161967648661
Va.site	0.140877911671283	0.108351184107928	0.185460852443762	0.17026163105658	0.218368948326034	0.165402732839471	2.01763470896491e-07	0.227524548938417	0.116447616983732
Vgenet.crab	0.134790780973556	0.0778960197152657	0.125008896142843	0.0798619908041938	0.175637137265848	0.0867874172581769	0.0478210247220231	0.0772760703864661	0.0466550814829845
Vgenet.site	0.565476324480607	0.552339439358965	0.301520501461081	0.287246730611574	0.267529446998923	0.273116683238604	0.118845062614499	0.19442617175706	0.290290959501199
av.Crab.z	1.08929111845914	1.09059301342487	-0.946324456843085	-1.04947039763314	-1.16893884583034	-0.434298686135565	0.938906417555587	-0.498466942343961	0.698865625677503
av.Wave.z	-0.512922393818375	-0.5557064378117	0.619185057485505	0.5793272337989	0.561183095539123	0.345804616290067	-0.493319668590816	0.105572846301141	-0.448262309927159
crab.low.WaveHab.o	0.501518426465601	10.9696797821453	0.128053776752514	0.109373224931159	0.293570532645833	0.206227031539883	1.43505836462198	0.0209314395633081	2.53980617929693
av.Crab	0.523253333333333	11.7907372265833	0.112015003666667	0.097249779	0.266475883678707	0.204171778627838	1.55392465297374	0.0182736536464348	2.84021613942425
av.Wave	0.120914722222222	6.32756964929358	0.141836654146789	0.124390715394495	0.320272789802318	0.220443334417037	1.33748856336147	0.0214184782815623	1.99270182326929
sd.Crab	0.207076775719597	1.725427060889	0.0112257923300941	0.00890669604618041	0.0222479588560027	0.022553796310287	0.188158311748903	0.00369812992070636	0.468000941061506
sd.Wave	0.178385995864257	2.50816441013058	0.0176079248961509	0.0162410310087919	0.0259341856954955	0.0210700734477762	0.0992072193117795	0.0051261160750546	0.596473352808166
sd.total	0.251114229176107	3.31845313632721	0.019049165915106	0.0166631728035072	0.0310942858056749	0.0208582065203467	0.151118661855003	0.00520632033558832	0.738814119898687
