Inversion Individual Karyotype
LGC1.1 P01-B12-SRK-21-E52.GT 3
LGC1.1 P01-C01-SKR-05-03.GT 3
LGC1.1 P01-C02-SKR-05-11.GT 3
LGC1.1 P01-C03-SKR-05-19.GT 3
LGC1.1 P01-C04-SKR-05-27.GT 3
LGC1.1 P01-C05-SKR-05-35.GT 3
LGC1.1 P01-C06-SRK-21-E05.GT 3
LGC1.1 P01-C07-SRK-21-E13.GT 3
LGC1.1 P01-C08-SRK-21-E21.GT 3
LGC1.1 P01-C09-SRK-21-E29.GT 3
LGC1.1 P01-C11-SRK-21-E45.GT 3
LGC1.1 P01-C12-SRK-21-E53.GT 3
LGC1.1 P01-D01-SKR-05-04.GT 3
LGC1.1 P01-D02-SKR-05-12.GT 3
LGC1.1 P01-D03-SKR-05-20.GT 3
LGC1.1 P01-D04-SKR-05-28.GT 3
LGC1.1 P01-D05-SKR-05-36.GT 3
LGC1.1 P01-D06-SRK-21-E06.GT 3
LGC1.1 P01-D07-SRK-21-E14.GT 3
LGC1.1 P01-D08-SRK-21-E22.GT 3
LGC1.1 P01-D09-SRK-21-E30.GT 3
LGC1.1 P01-D10-SRK-21-E38.GT 3
LGC1.1 P01-D11-SRK-21-E46.GT 3
LGC1.1 P01-E01-SKR-05-05.GT 3
LGC1.1 P01-E02-SKR-05-13.GT 3
LGC1.1 P01-E03-SKR-05-21.GT 3
LGC1.1 P01-E04-SKR-05-29.GT 3
LGC1.1 P01-E05-SKR-05-37.GT 3
LGC1.1 P01-E06-SRK-21-E07.GT 3
LGC1.1 P01-E07-SRK-21-E15.GT 3
LGC1.1 P01-E08-SRK-21-E23.GT 3
LGC1.1 P01-E09-SRK-21-E31.GT 3
LGC1.1 P01-E10-SRK-21-E39.GT 3
LGC1.1 P01-E11-SRK-21-E47.GT 3
LGC1.1 P01-F01-SKR-05-06.GT 3
LGC1.1 P01-F02-SKR-05-14.GT 3
LGC1.1 P01-F03-SKR-05-22.GT 3
LGC1.1 P01-F04-SKR-05-30.GT 3
LGC1.1 P01-F05-SKR-05-38.GT 3
LGC1.1 P01-F07-SRK-21-E16.GT 3
LGC1.1 P01-F08-SRK-21-E24.GT 3
LGC1.1 P01-F09-SRK-21-E32.GT 3
LGC1.1 P01-F10-SRK-21-E40.GT 3
LGC1.1 P01-F11-SRK-21-E48.GT 3
LGC1.1 P01-G01-SKR-05-07.GT 3
LGC1.1 P01-G02-SKR-05-15.GT 3
LGC1.1 P01-G03-SKR-05-23.GT 3
LGC1.1 P01-G04-SKR-05-31.GT 3
LGC1.1 P01-G05-SRK-21-E01.GT 3
LGC1.1 P01-G06-SRK-21-E09.GT 3
LGC1.1 P01-G07-SRK-21-E17.GT 3
LGC1.1 P01-G08-SRK-21-E25.GT 3
LGC1.1 P01-G09-SRK-21-E33.GT 3
LGC1.1 P01-G10-SRK-21-E41.GT 3
LGC1.1 P01-G11-SRK-21-E49.GT 3
LGC1.1 P01-H01-SKR-05-08.GT 3
LGC1.1 P01-H02-SKR-05-16.GT 3
LGC1.1 P01-H03-SKR-05-24.GT 3
LGC1.1 P01-H04-SKR-05-32.GT 3
LGC1.1 P01-H05-SRK-21-E02.GT 3
LGC1.1 P01-H06-SRK-21-E10.GT 3
LGC1.1 P01-H08-SRK-21-E26.GT 3
LGC1.1 P01-H09-SRK-21-E34.GT 3
LGC1.1 P01-H10-SRK-21-E42.GT 3
LGC1.1 P01-H11-SRK-21-E50.GT 3
LGC1.1 P02-A08-W-REF-21-06.GT 3
LGC1.1 P02-A09-W-REF-21-14.GT 3
LGC1.1 P02-A10-W-REF-21-22.GT 3
LGC1.1 P02-A11-W-REF-21-30.GT 3
LGC1.1 P02-A12-W-REF-21-38.GT 3
LGC1.1 P02-B08-W-REF-21-07.GT 3
LGC1.1 P02-B10-W-REF-21-23.GT 3
LGC1.1 P02-B11-W-REF-21-31.GT 3
LGC1.1 P02-B12-W-REF-21-39.GT 3
LGC1.1 P02-C08-W-REF-21-08.GT 3
LGC1.1 P02-C09-W-REF-21-16.GT 3
LGC1.1 P02-C10-W-REF-21-24.GT 3
LGC1.1 P02-C11-W-REF-21-32.GT 3
LGC1.1 P02-C12-W-REF-21-40.GT 3
LGC1.1 P02-D08-W-REF-21-09.GT 3
LGC1.1 P02-D09-W-REF-21-17.GT 3
LGC1.1 P02-D10-W-REF-21-25.GT 3
LGC1.1 P02-D11-W-REF-21-33.GT 3
LGC1.1 P02-D12-W-REF-21-41.GT 3
LGC1.1 P02-E07-W-REF-21-02.GT 3
LGC1.1 P02-E08-W-REF-21-10.GT 3
LGC1.1 P02-E09-W-REF-21-18.GT 3
LGC1.1 P02-E10-W-REF-21-26.GT 3
LGC1.1 P02-E11-W-REF-21-34.GT 3
LGC1.1 P02-E12-W-REF-21-42.GT 3
LGC1.1 P02-F07-W-REF-21-03.GT 3
LGC1.1 P02-F08-W-REF-21-11.GT 3
LGC1.1 P02-F09-W-REF-21-19.GT 3
LGC1.1 P02-F10-W-REF-21-27.GT 3
LGC1.1 P02-G07-W-REF-21-04.GT 3
LGC1.1 P02-G08-W-REF-21-12.GT 3
LGC1.1 P02-G09-W-REF-21-20.GT 3
LGC1.1 P02-G10-W-REF-21-28.GT 3
LGC1.1 P02-G11-W-REF-21-36.GT 3
LGC1.1 P02-G12-W-REF-21-44.GT 3
LGC1.1 P02-H08-W-REF-21-13.GT 3
LGC1.1 P02-H09-W-REF-21-21.GT 3
LGC1.1 P02-H10-W-REF-21-29.GT 3
LGC1.1 P02-H11-W-REF-21-37.GT 3
LGC1.1 P02-H12-W-REF-21-45.GT 3
LGC1.1 P03-A04-DO-92-17.GT 3
LGC1.1 P03-A05-DO-92-25.GT 3
LGC1.1 P03-A06-DO-21-08.GT 3
LGC1.1 P03-B01-W-REF-21-47.GT 3
LGC1.1 P03-B11-DO-21-49.GT 3
LGC1.1 P03-C01-W-REF-21-48.GT 3
LGC1.1 P03-C04-DO-92-19.GT 3
LGC1.1 P03-C06-DO-21-10.GT 3
LGC1.1 P03-C09-DO-21-34.GT 3
LGC1.1 P03-C10-DO-21-42.GT 3
LGC1.1 P03-D01-W-REF-21-49.GT 3
LGC1.1 P03-D03-DO-92-12.GT 3
LGC1.1 P03-D08-DO-21-27.GT 3
LGC1.1 P03-D10-DO-21-43.GT 3
LGC1.1 P03-E01-W-REF-21-50.GT 3
LGC1.1 P03-E04-DO-92-21.GT 3
LGC1.1 P03-F01-W-REF-21-51.GT 3
LGC1.1 P03-F05-DO-21-05.GT 3
LGC1.1 P03-F07-DO-21-21.GT 3
LGC1.1 P03-F08-DO-21-29.GT 3
LGC1.1 P03-F10-DO-21-45.GT 3
LGC1.1 P03-G04-DO-92-23.GT 3
