N0_set r_set K_set M_set gen_factor nll
80 0.05 500 2 1.33333333333333 5733.86074270444
160 0.05 500 2 1.33333333333333 5711.98225704365
320 0.05 500 2 1.33333333333333 5737.35021388319
20 0.1 500 2 1.33333333333333 5797.09919455876
40 0.1 500 2 1.33333333333333 5721.11126324325
80 0.1 500 2 1.33333333333333 5694.60918592934
160 0.1 500 2 1.33333333333333 5708.49989644756
320 0.1 500 2 1.33333333333333 5742.47311198862
20 0.2 500 2 1.33333333333333 5709.5236180037
40 0.2 500 2 1.33333333333333 5685.01202384122
80 0.2 500 2 1.33333333333333 5695.08812097972
160 0.2 500 2 1.33333333333333 5722.80071148129
320 0.2 500 2 1.33333333333333 5750.95320315438
20 0.4 500 2 1.33333333333333 5690.13255748929
40 0.4 500 2 1.33333333333333 5694.54229307577
80 0.4 500 2 1.33333333333333 5718.08068901268
160 0.4 500 2 1.33333333333333 5741.4965533948
320 0.4 500 2 1.33333333333333 5758.11568349863
20 0.025 1000 2 1.33333333333333 6118.74810006767
40 0.025 1000 2 1.33333333333333 5918.12879579624
80 0.025 1000 2 1.33333333333333 5779.41041157135
160 0.025 1000 2 1.33333333333333 5719.47042143945
320 0.025 1000 2 1.33333333333333 5735.09840489067
20 0.05 1000 2 1.33333333333333 5952.57703934888
40 0.05 1000 2 1.33333333333333 5803.64228228229
80 0.05 1000 2 1.33333333333333 5717.71571132945
160 0.05 1000 2 1.33333333333333 5702.1469142646
320 0.05 1000 2 1.33333333333333 5742.70387570366
20 0.1 1000 2 1.33333333333333 5777.36309334508
40 0.1 1000 2 1.33333333333333 5702.16873533494
80 0.1 1000 2 1.33333333333333 5682.38845890428
160 0.1 1000 2 1.33333333333333 5710.77860582575
320 0.1 1000 2 1.33333333333333 5765.59159791581
20 0.2 1000 2 1.33333333333333 5699.10012422896
40 0.2 1000 2 1.33333333333333 5680.45364979542
80 0.2 1000 2 1.33333333333333 5702.21982258269
160 0.2 1000 2 1.33333333333333 5748.57498514304
320 0.2 1000 2 1.33333333333333 5796.97984952307
20 0.4 1000 2 1.33333333333333 5690.01486085883
40 0.4 1000 2 1.33333333333333 5706.12714600555
80 0.4 1000 2 1.33333333333333 5748.13831491404
160 0.4 1000 2 1.33333333333333 5791.13006030997
320 0.4 1000 2 1.33333333333333 5822.73286495128
20 0.025 2000 2 1.33333333333333 6116.34062212344
40 0.025 2000 2 1.33333333333333 5913.51419706318
80 0.025 2000 2 1.33333333333333 5773.81656442407
160 0.025 2000 2 1.33333333333333 5714.89706966668
320 0.025 2000 2 1.33333333333333 5735.83704485349
20 0.05 2000 2 1.33333333333333 5946.65449712345
40 0.05 2000 2 1.33333333333333 5795.60647213515
80 0.05 2000 2 1.33333333333333 5709.9628448929
160 0.05 2000 2 1.33333333333333 5699.19901885406
320 0.05 2000 2 1.33333333333333 5751.80101571789
20 0.1 2000 2 1.33333333333333 5768.09449053632
40 0.1 2000 2 1.33333333333333 5694.35780821095
80 0.1 2000 2 1.33333333333333 5681.29502140884
160 0.1 2000 2 1.33333333333333 5722.89606641749
320 0.1 2000 2 1.33333333333333 5797.40217507669
20 0.2 2000 2 1.33333333333333 5704.74056843072
40 0.2 2000 2 1.33333333333333 5692.91687662523
80 0.2 2000 2 1.33333333333333 5725.60574753459
160 0.2 2000 2 1.33333333333333 5789.30964359485
320 0.2 2000 2 1.33333333333333 5858.00658058392
20 0.4 2000 2 1.33333333333333 5710.11215660233
40 0.4 2000 2 1.33333333333333 5735.77346704451
80 0.4 2000 2 1.33333333333333 5795.4864372224
160 0.4 2000 2 1.33333333333333 5858.6863840374
320 0.4 2000 2 1.33333333333333 5907.07860420694
20 0.025 4000 2 1.33333333333333 6113.77029858516
40 0.025 4000 2 1.33333333333333 5911.17644236302
80 0.025 4000 2 1.33333333333333 5771.22570076994
160 0.025 4000 2 1.33333333333333 5712.72890024784
320 0.025 4000 2 1.33333333333333 5736.68915144633
20 0.05 4000 2 1.33333333333333 5943.73791756126
40 0.05 4000 2 1.33333333333333 5791.61703864217
80 0.05 4000 2 1.33333333333333 5706.28123741505
160 0.05 4000 2 1.33333333333333 5698.43547438718
320 0.05 4000 2 1.33333333333333 5759.07395539132
20 0.1 4000 2 1.33333333333333 5763.6008656752
40 0.1 4000 2 1.33333333333333 5691.28010351196
80 0.1 4000 2 1.33333333333333 5683.10691187678
160 0.1 4000 2 1.33333333333333 5734.67748159642
320 0.1 4000 2 1.33333333333333 5824.48052672897
20 0.2 4000 2 1.33333333333333 5713.45895085228
40 0.2 4000 2 1.33333333333333 5707.79689008997
80 0.2 4000 2 1.33333333333333 5749.28203214491
160 0.2 4000 2 1.33333333333333 5826.79498287537
320 0.2 4000 2 1.33333333333333 5912.36846106977
20 0.4 4000 2 1.33333333333333 5732.92521714527
40 0.4 4000 2 1.33333333333333 5765.86311543303
80 0.4 4000 2 1.33333333333333 5839.42325914976
160 0.4 4000 2 1.33333333333333 5919.58478813387
320 0.4 4000 2 1.33333333333333 5983.23597354548
20 0.025 250 4 1.33333333333333 6120.26945775486
40 0.025 250 4 1.33333333333333 5932.00005121191
80 0.025 250 4 1.33333333333333 5798.73619732761
160 0.025 250 4 1.33333333333333 5738.90582864569
320 0.025 250 4 1.33333333333333 5740.68780212487
20 0.05 250 4 1.33333333333333 5981.45176803555
40 0.05 250 4 1.33333333333333 5838.98399653708
80 0.05 250 4 1.33333333333333 5754.79230221806
160 0.05 250 4 1.33333333333333 5729.06826653234
320 0.05 250 4 1.33333333333333 5741.96870550352
20 0.1 250 4 1.33333333333333 5831.67125178148
40 0.1 250 4 1.33333333333333 5752.92731122396
80 0.1 250 4 1.33333333333333 5721.32017432668
160 0.1 250 4 1.33333333333333 5724.12730923062
320 0.1 250 4 1.33333333333333 5741.36938964721
20 0.2 250 4 1.33333333333333 5748.2095507909
40 0.2 250 4 1.33333333333333 5715.6840037151
80 0.2 250 4 1.33333333333333 5714.22433773345
160 0.2 250 4 1.33333333333333 5726.22788039741
320 0.2 250 4 1.33333333333333 5738.88763338994
20 0.4 250 4 1.33333333333333 5726.10277224018
40 0.4 250 4 1.33333333333333 5714.91451768343
80 0.4 250 4 1.33333333333333 5721.38621114553
160 0.4 250 4 1.33333333333333 5730.25333867236
320 0.4 250 4 1.33333333333333 5736.65927957544
20 0.025 500 4 1.33333333333333 6108.90137101245
40 0.025 500 4 1.33333333333333 5914.6639167367
80 0.025 500 4 1.33333333333333 5777.52363439546
160 0.025 500 4 1.33333333333333 5719.3171677244
320 0.025 500 4 1.33333333333333 5732.40881057121
20 0.05 500 4 1.33333333333333 5958.06650410064
40 0.05 500 4 1.33333333333333 5808.11734797495
80 0.05 500 4 1.33333333333333 5721.87439730668
160 0.05 500 4 1.33333333333333 5703.58457690117
320 0.05 500 4 1.33333333333333 5733.80057134818
20 0.1 500 4 1.33333333333333 5791.98416721171
40 0.1 500 4 1.33333333333333 5710.29563139033
80 0.1 500 4 1.33333333333333 5684.42849005773
160 0.1 500 4 1.33333333333333 5702.16862031038
320 0.1 500 4 1.33333333333333 5739.81654265316
20 0.2 500 4 1.33333333333333 5704.08452906871
40 0.2 500 4 1.33333333333333 5676.18324910998
80 0.2 500 4 1.33333333333333 5688.11352498143
160 0.2 500 4 1.33333333333333 5718.764772502
320 0.2 500 4 1.33333333333333 5749.06019575745
20 0.4 500 4 1.33333333333333 5687.58765904703
40 0.4 500 4 1.33333333333333 5689.38665757403
80 0.4 500 4 1.33333333333333 5714.10784421396
160 0.4 500 4 1.33333333333333 5739.04915458235
320 0.4 500 4 1.33333333333333 5756.68439158698
20 0.025 1000 4 1.33333333333333 6102.78649217963
40 0.025 1000 4 1.33333333333333 5905.96741218239
80 0.025 1000 4 1.33333333333333 5766.58052240379
160 0.025 1000 4 1.33333333333333 5710.21696888285
320 0.025 1000 4 1.33333333333333 5731.89492735188
20 0.05 1000 4 1.33333333333333 5945.71986262271
40 0.05 1000 4 1.33333333333333 5792.64681344416
80 0.05 1000 4 1.33333333333333 5705.99348172826
160 0.05 1000 4 1.33333333333333 5694.74728949006
320 0.05 1000 4 1.33333333333333 5741.16702407253
20 0.1 1000 4 1.33333333333333 5772.15811469617
40 0.1 1000 4 1.33333333333333 5691.27406301294
80 0.1 1000 4 1.33333333333333 5672.98872187793
160 0.1 1000 4 1.33333333333333 5706.65048408451
320 0.1 1000 4 1.33333333333333 5766.14447688525
20 0.2 1000 4 1.33333333333333 5692.87813738886
40 0.2 1000 4 1.33333333333333 5672.15709910894
80 0.2 1000 4 1.33333333333333 5697.54708489675
160 0.2 1000 4 1.33333333333333 5748.19240552053
320 0.2 1000 4 1.33333333333333 5799.26645006515
20 0.4 1000 4 1.33333333333333 5688.22417172685
40 0.4 1000 4 1.33333333333333 5703.4892007171
80 0.4 1000 4 1.33333333333333 5748.11992498807
160 0.4 1000 4 1.33333333333333 5793.28266328888
320 0.4 1000 4 1.33333333333333 5825.97701521773
20 0.025 2000 4 1.33333333333333 6100.40956886984
40 0.025 2000 4 1.33333333333333 5901.49314182333
80 0.025 2000 4 1.33333333333333 5761.0831446123
160 0.025 2000 4 1.33333333333333 5705.87220816249
320 0.025 2000 4 1.33333333333333 5733.24125307762
20 0.05 2000 4 1.33333333333333 5939.85483830892
40 0.05 2000 4 1.33333333333333 5784.62113633741
80 0.05 2000 4 1.33333333333333 5698.3745832944
160 0.05 2000 4 1.33333333333333 5692.39075796309
320 0.05 2000 4 1.33333333333333 5751.44814197153
20 0.1 2000 4 1.33333333333333 5762.8763742676
40 0.1 2000 4 1.33333333333333 5683.35266380249
80 0.1 2000 4 1.33333333333333 5672.36062898885
160 0.1 2000 4 1.33333333333333 5720.14295000734
320 0.1 2000 4 1.33333333333333 5799.82898809401
20 0.2 2000 4 1.33333333333333 5697.75854623342
40 0.2 2000 4 1.33333333333333 5684.81848997683
80 0.2 2000 4 1.33333333333333 5722.36932267801
160 0.2 2000 4 1.33333333333333 5791.16621464868
320 0.2 2000 4 1.33333333333333 5862.55605596137
20 0.4 2000 4 1.33333333333333 5708.46952209415
40 0.4 2000 4 1.33333333333333 5734.64785475988
80 0.4 2000 4 1.33333333333333 5798.01187477808
160 0.4 2000 4 1.33333333333333 5863.5172939086
320 0.4 2000 4 1.33333333333333 5912.57162381439
20 0.025 4000 4 1.33333333333333 6098.57211786977
40 0.025 4000 4 1.33333333333333 5899.15648282149
80 0.025 4000 4 1.33333333333333 5758.51475048937
160 0.025 4000 4 1.33333333333333 5703.8229578066
320 0.025 4000 4 1.33333333333333 5734.4137108991
20 0.05 4000 4 1.33333333333333 5936.93497371179
40 0.05 4000 4 1.33333333333333 5780.64209469142
80 0.05 4000 4 1.33333333333333 5694.74820986956
160 0.05 4000 4 1.33333333333333 5691.94196054428
320 0.05 4000 4 1.33333333333333 5759.35473098191
20 0.1 4000 4 1.33333333333333 5758.32118383432
40 0.1 4000 4 1.33333333333333 5680.2008900677
80 0.1 4000 4 1.33333333333333 5674.42389825349
160 0.1 4000 4 1.33333333333333 5732.68771095708
320 0.1 4000 4 1.33333333333333 5827.87080625247
20 0.2 4000 4 1.33333333333333 5705.94765847352
40 0.2 4000 4 1.33333333333333 5699.73819931255
80 0.2 4000 4 1.33333333333333 5746.82262211348
160 0.2 4000 4 1.33333333333333 5829.8409146701
320 0.2 4000 4 1.33333333333333 5917.92110954925
20 0.4 4000 4 1.33333333333333 5731.22164290945
40 0.4 4000 4 1.33333333333333 5765.5675704635
80 0.4 4000 4 1.33333333333333 5843.40041209204
160 0.4 4000 4 1.33333333333333 5925.73643311119
320 0.4 4000 4 1.33333333333333 5989.44685282433
20 0.025 250 8 1.33333333333333 6325.17895390051
40 0.025 250 8 1.33333333333333 6161.41973447949
80 0.025 250 8 1.33333333333333 5976.75793229991
160 0.025 250 8 1.33333333333333 5854.79346940726
320 0.025 250 8 1.33333333333333 5817.09517649745
20 0.05 250 8 1.33333333333333 6207.54362874142
40 0.05 250 8 1.33333333333333 6051.68041016325
80 0.05 250 8 1.33333333333333 5911.48771388719
160 0.05 250 8 1.33333333333333 5836.94299988718
320 0.05 250 8 1.33333333333333 5821.76497757625
20 0.1 250 8 1.33333333333333 6041.2490749806
40 0.1 250 8 1.33333333333333 5930.40599668197
80 0.1 250 8 1.33333333333333 5852.69069274792
160 0.1 250 8 1.33333333333333 5823.88360843514
320 0.1 250 8 1.33333333333333 5824.46657723559
20 0.2 250 8 1.33333333333333 5930.85163827925
40 0.2 250 8 1.33333333333333 5860.91906539953
80 0.2 250 8 1.33333333333333 5826.86934868367
160 0.2 250 8 1.33333333333333 5820.51427822593
320 0.2 250 8 1.33333333333333 5824.14947136374
20 0.4 250 8 1.33333333333333 5887.42235581619
40 0.4 250 8 1.33333333333333 5838.82131185555
80 0.4 250 8 1.33333333333333 5823.48315982183
