snailID;ln(gw);ln(gh);r0;h0;a0;c;apAngle;shellLength
DON_92_01a;-2.28680119646866;-2.05742442732373;0.215086565875535;0.600431455091245;0.299348944018687;1.4464597595799;17.8579541481703;7.69803996838294
DON_92_02a;-2.44189184484066;-2.25998455450305;0.200014232495946;0.703102988259566;0.27108143432281;1.32744924098075;40.2717708396177;8.70319536053699
DON_92_03a;-2.50370487835925;-2.26171205031442;0.179861239567557;0.69248047960367;0.259585621352472;1.35271206725641;23.5742164653467;9.40291337513622
DON_92_04a;-2.37015816722951;-2.27723434278784;0.205683523703488;0.684103408849485;0.284743764071066;1.30491580118661;33.844844829429;8.83555689432188
DON_92_05a;-2.52059153156028;-2.2821865118238;0.197736791361028;0.73637973793989;0.247669181668506;1.22194118115856;26.0636262468049;10.0454665586044
DON_92_06a;-2.48740345976666;-2.24458661306432;0.17364546069777;0.673951719108243;0.29651112697544;1.22684442261628;21.9287872114116;9.51316317373211
DON_92_07a;-2.37403359686256;-2.1759448810365;0.179266523366541;0.662407119026748;0.291486202407257;1.2890283921781;16.8495665473274;8.47482445413672
DON_92_08a;-2.3755157405811;-2.18958634286678;0.225053298593908;0.649443887956227;0.285621678458175;1.37158560376352;27.0239328708075;7.66335610886559
DON_92_09a;-2.53517809618308;-2.24335709328793;0.191743518593624;0.685145675349492;0.264392213234535;1.36112078139543;29.5536494272172;9.42914641025625
DON_92_10a;-2.44095078539405;-2.17524656064815;0.180718689673496;0.701930134305229;0.272151836591305;1.25746410225921;28.1932566645382;10.1567691031713
DON_92_11a;-2.45276830445593;-2.20115781837096;0.189937325796292;0.698090313713189;0.27384138095433;1.22473036590677;19.0194102437086;10.2575856454652
DON_92_12a;-2.35608217474545;-2.19358074079158;0.177191048869866;0.689053204930091;0.284864774129847;1.22616130457603;13.8892599374301;8.7976964731873
DON_92_13a;-2.3514374872231;-2.17535357144389;0.183948837760318;0.668003085008664;0.308667749960311;1.20808193903528;24.3393042318508;9.14447401647173
DON_92_14a;-2.51786520836875;-2.33892486390294;0.192107027657964;0.664552923811169;0.257673370703316;1.49782215765935;25.2012099361107;7.3543166938221
DON_92_15a;-2.41734221908803;-2.25256658699728;0.194158365944336;0.669558865111628;0.267828211217988;1.37966380843946;18.585338446407;9.70653396884087
DON_92_16a;-2.37224704380275;-2.23312947425591;0.188960719797842;0.609414002540727;0.310658534420414;1.3761522493381;17.6927645760406;8.48141366719223
DON_92_17a;-2.31406473555759;-2.14580108860724;0.218874445730575;0.653517949379437;0.295652125028263;1.26638876283307;13.5038853498398;8.66231423441315
DON_92_18a;-2.34783327641812;-2.25247933284734;0.203332819288614;0.63568878280094;0.289192452956135;1.38531406964632;16.0321127044031;8.32522819110948
DON_92_19a;-2.40146236803424;-2.23283894637939;0.187227943905041;0.664037920196196;0.279192027716367;1.34053564451143;17.5377778593379;7.96588096690728
DON_92_20a;-2.44098764800283;-2.32327492409184;0.202599479192477;0.692207051244928;0.276177216401378;1.29511763542028;29.5137996021239;7.8697252586929
DON_92_21a;-2.3776211866645;-2.24145258721587;0.195836840709502;0.633079442004514;0.278272757423079;1.4657443380351;19.2170885275887;9.64303336011981
DON_92_22a;-2.45406684073869;-2.34115659246742;0.213399877094241;0.658437617364401;0.256850822403807;1.52933249762353;25.1197017266543;9.55083683096803
DON_92_23a;-2.40803628184292;-2.25958649449561;0.201976163256881;0.64706361483713;0.283076428853633;1.39833993319945;23.3829685098581;7.59203903726751
DON_92_24a;-2.1662730611706;-2.09719417560608;0.233880523047839;0.627770614192875;0.323597569111974;1.24287440950943;16.1971642836499;9.63572891045801
DON_92_25a;-2.28304906257081;-2.0617533129091;0.208361963452158;0.654436231523884;0.320880884781601;1.17393044257306;19.6489031296889;7.90198586466154
