snailID;ln(gw);ln(gh);r0;h0;a0;c;apAngle;shellLength
DON_21_01a;-2.39015943541493;-2.31021007842281;0.208698033835651;0.648164659131791;0.265624952107259;1.51076007749069;23.5331935725295;8.52092898227593
DON_21_02a;-2.30424149119702;-2.19864464642111;0.251144876743651;0.693339445327444;0.266422620223942;1.32310637488964;31.7188080972148;8.72901383492959
DON_21_03a;-2.45976799004554;-2.25070154626217;0.19778394549487;0.686376626117123;0.261046723279042;1.3545502988653;22.4675121862678;9.1983831432361
DON_21_04a;-2.38417747590714;-2.29664071525587;0.233859348616349;0.669574133705965;0.257879407842942;1.50734784319532;30.9230454426502;8.60391862545829
DON_21_05a;-2.37631424812517;-2.20155792908262;0.214518216117429;0.667520734585034;0.248243750082439;1.51504428705886;23.2593884604789;9.49128411317053
DON_21_06a;-2.50176095349668;-2.2965393760595;0.180642939178488;0.68482334164558;0.272452334043936;1.33125880494815;26.7904991519229;8.53107204370744
DON_21_07a;-2.54198770836042;-2.41337811863181;0.215421782654668;0.706383350807684;0.229478915406222;1.61631962462854;35.3673832703489;8.9821688864087
DON_21_08a;-2.38297273513091;-2.17637944459329;0.224860903846198;0.675997718491188;0.260679903972127;1.46669700068044;35.0048889984621;8.56609409731362
DON_21_09a;-2.42486507431737;-2.26437867440549;0.205518835057332;0.661555926848329;0.278602902938856;1.36740014149807;24.4744460380225;8.88748658951961
DON_21_10a;-2.2056028967375;-2.15755040358322;0.203264682335746;0.614403670920368;0.335228196373154;1.25952410244986;17.8807918411615;8.50343793671228
DON_21_11a;-2.41198288464875;-2.19453621099084;0.203158392836982;0.687242050464919;0.271152040985371;1.31044476217715;27.7027531424552;10.1849967674374
DON_21_12a;-2.39081888861356;-2.21733721331745;0.203220111080825;0.689280599751554;0.27839395490281;1.25520422926899;24.1365448636183;8.75145805875489
DON_21_13a;-2.40261084643661;-2.38370120798067;0.200507872904226;0.639799209234634;0.276925850564617;1.47855294570567;20.1032374812226;9.57265967909865
DON_21_14a;-2.22772235484416;-2.06723042498345;0.268399166807403;0.659827190959993;0.280714386384728;1.33350923369993;25.3172567110588;8.45482515566281
DON_21_15a;-2.37834477158883;-2.24903554640571;0.224949559495951;0.706200990304177;0.24683942911915;1.40485608532089;31.5328271736655;9.54119563059269
DON_21_16a;-2.21607801238808;-2.17685214085924;0.224614362602764;0.642723886675594;0.300230007858909;1.33850471029569;25.7043886654743;6.12957257781314
DON_21_17a;-2.30678306788381;-2.2350806936121;0.227548630723405;0.687226219160728;0.27919902722128;1.26017541193313;23.6451433092991;8.33078518570676
DON_21_18a;-2.42726693298592;-2.26374586784824;0.205279367301017;0.659037263983081;0.282941370393005;1.36406413734622;26.7558993353593;9.72123484616552
DON_21_19a;-2.35977977015992;-2.25460855158374;0.196724603784927;0.651873970487216;0.278588922056305;1.39956162767383;19.4377116827455;8.57183320832084
DON_21_20a;-2.31170220292351;-2.24818986982981;0.193894037303605;0.657811163259412;0.295029398610319;1.30974342143253;21.6283436500563;5.95784750249689
DON_21_21a;-2.13688341450184;-2.11429378400535;0.222471904807766;0.630730527057139;0.325365649192124;1.25379416339578;22.2567392479837;5.51645547399767
DON_21_22a;-2.4324761753439;-2.28192064314058;0.209332845525223;0.655508203954158;0.282019293122526;1.35461151222038;20.7891833189271;7.71150969153597
DON_21_23a;-2.36980315321397;-2.22345895336752;0.197758816424621;0.658565017251599;0.288418792783655;1.30598226055755;16.7049697641733;8.28448906608052
DON_21_24a;-2.35207349587726;-2.29666952016408;0.193615047185313;0.716210618794375;0.275568573788651;1.1898753497061;22.1040579887015;9.53743720169125
DON_21_25a;-2.23103759898924;-2.17511361137187;0.21352566285697;0.644175248533204;0.309296983613691;1.29128462595623;25.3972048020732;9.20000065910409
DON_21_26a;-2.48739809660292;-2.36566569402593;0.166680064773807;0.677616634871394;0.271662601867906;1.37815117144326;21.5386518059457;5.63644667166679
DON_21_27a;-2.45790326949198;-2.24799605983199;0.199979464844235;0.689019167789735;0.266880557373103;1.30965971939771;22.9880092883237;8.10916999545981
DON_21_28a;-2.39895332441845;-2.23149004679915;0.204974469572256;0.672771132408311;0.281728181309986;1.28606729230865;19.4149997553342;7.50580285993267
DON_21_29a;-2.40279885848987;-2.19841184777669;0.230459176643191;0.655315775516726;0.273602039329095;1.41444886015049;27.6403652111591;8.79690056710613
DON_21_30a;-2.32180382363521;-2.18652283298154;0.211535588027353;0.65069834037262;0.289963328740808;1.35918158829177;26.485645810708;9.1380366185276
DON_21_31a;-2.29131254616093;-2.1267359212556;0.200344349617562;0.639830533648993;0.317425552920378;1.23218609326243;13.6613762228153;7.39030826376653
DON_21_32a;-2.32616819048469;-2.19749703529296;0.207380260682346;0.674110007603519;0.283351682064507;1.29274968916302;23.4658451082613;9.44860300106461
DON_21_33a;-2.3740243472729;-2.20481535501877;0.199120242055792;0.686160110294145;0.27503606613765;1.27668536722373;20.1600415359109;10.0723961551039
DON_21_34a;-2.26490009305998;-2.06181251859187;0.232521469100541;0.627368751840599;0.313837961354493;1.28681235763961;21.3230410564317;7.31912503895366
DON_21_35a;-2.2391379645351;-2.12377211783908;0.205797089329912;0.588383954641268;0.328878990074212;1.35022396897938;14.9995772402894;6.85665268336048
DON_21_36a;-2.3063551205512;-2.21103778979432;0.188066003104028;0.626367185693768;0.301051784597009;1.40393845844528;23.8310232078672;6.55440854139725
DON_21_37a;-2.36526951735794;-2.27515599403628;0.218593441985864;0.690338292445472;0.274857872858017;1.26397975764804;20.2992199041928;8.84997206470619
DON_21_38a;-2.44457346664475;-2.33395141910398;0.181463183380465;0.65624064439623;0.287706524323198;1.36600226047318;23.8148621547101;8.4997877506497
DON_21_39a;-2.25581946207818;-2.18373584867456;0.20825726111563;0.661781822939832;0.289975591163069;1.3566980466489;31.2502754647738;5.30480031589811
DON_21_40a;-2.41064677231138;-2.12184761412567;0.196208598666405;0.695274089675666;0.271653826382481;1.27904926241548;29.6598922193544;11.6492718324265
DON_21_41a;-2.44118276132357;-2.2550647532378;0.151454897067079;0.644270846168703;0.30646727932389;1.35014580964704;27.0064086377448;6.59065907856578
DON_21_42a;-2.33454439933668;-2.19952833931787;0.218102787788942;0.663743392567092;0.279519105746791;1.35411110441054;25.3293509478811;8.85410377480192
DON_21_43a;-2.17407200825151;-2.16992580592172;0.212723547463882;0.599959668389395;0.325498853631906;1.35576840877762;20.7139798496723;7.94612334912375
DON_21_44a;-2.4389969520389;-2.23439076737322;0.197491293758738;0.655783194307848;0.271145975418409;1.43956150948402;25.7948723905498;7.87337295348349
DON_21_45a;-2.22634922494499;-1.99513399259592;0.202340510659492;0.622917689435308;0.346249179346852;1.21920158564301;29.639085507688;5.83645138045869
DON_21_46a;-2.31985257671149;-2.12795583711003;0.23684472333703;0.646533868550722;0.292797525202099;1.36267383375403;31.1771413377292;8.23616775102881
DON_21_47a;-2.21326574042317;-2.1194383982587;0.224580982394406;0.611800290481134;0.324565692339974;1.32794925833937;26.3231328087943;6.45134641272911
DON_21_48a;-2.24061140646319;-2.18519542675822;0.206615181458725;0.650287568066501;0.301298563770636;1.30435288791197;23.2865942273545;6.19734928210657
DON_21_49a;-2.43224774789484;-2.27957039690776;0.179535545356493;0.681362489579588;0.27868370061414;1.27960431617766;13.8899266158783;8.51395318098462
DON_21_50a;-2.17976975843905;-2.1159265314874;0.219659306660828;0.62114129629745;0.326268621193347;1.32337775771222;31.6961032590631;6.78694197072211
