snailID;ln(gw);ln(gh);r0;h0;a0;c;apAngle;shellLength
RamshC_0064;-2.45259771381325;-2.33476098954993;0.187493315056133;0.65498742230321;0.291983205966378;1.32959362789304;20.6946885531766;8.97505661704344
RamshC_0065;-2.50879823349564;-2.30738610616907;0.19099424790569;0.679785332845114;0.273659132666078;1.32993599499489;25.38046947453;10.8160309841113
RamshC_0066;-2.42486738052332;-2.20601840916482;0.191711443565077;0.627742731754406;0.289957975214536;1.39490684767929;14.7281149078292;9.94443502164276
RamshC_0067;-2.51101202118107;-2.26430264011107;0.182810673872203;0.648398506587988;0.272723452703106;1.42277399450131;17.5405046005628;9.98929040750655
RamshC_0068;-2.48528218443536;-2.34229487237814;0.164104543957654;0.67221793697824;0.266134014584374;1.43059417410141;20.8770488323897;10.223512500565
RamshC_0069;-2.3406045410072;-2.21738108042439;0.181269856642577;0.597027539585276;0.32605939445884;1.39790947926027;26.8145098395917;7.82676729791272
RamshC_0070;-2.42051274071554;-2.1240512386697;0.190526150883064;0.634401870955317;0.282165296639325;1.48141786599607;28.9461582035159;10.9451559825754
RamshC_0071;-2.46198657658869;-2.28198764973147;0.189080015179632;0.637080867968071;0.281503826425067;1.46204305206389;25.3204795780141;10.5803894753202
RamshC_0072;-2.47184479851389;-2.34313393465452;0.208082614375569;0.655853104041978;0.262065440374039;1.53696279899002;29.0209520320651;7.65707724556246
RamshC_0073;-2.52856776048698;-2.29016808208537;0.181502535507445;0.617074686452132;0.27104014310782;1.59338899169459;24.516588794649;10.8916386844805
RamshC_0074;-2.53455876188071;-2.25277025884257;0.200639518208918;0.610444917472273;0.285102059490655;1.51004506807397;24.5962986786743;9.71613884523098
RamshC_0075;-2.40313033559436;-2.20223526302771;0.210234206701341;0.62245016193994;0.283210390271009;1.4629064497242;20.7318046542192;10.0317031908918
RamshC_0076;-2.38266482713856;-2.25474455234996;0.19036165567662;0.586029483575636;0.295342080422817;1.53363126754259;17.197717702769;9.94143918308037
RamshC_0077;-2.51840915690664;-2.27313898857301;0.201550619864235;0.708616866452878;0.259512475797513;1.31792558326348;34.6770361970706;9.65922127627592
RamshC_0078;-2.42147906666986;-2.19788144848529;0.190315988336731;0.638311934217007;0.285785872991827;1.44187201798528;27.9666811711624;9.44598954070708
RamshC_0079;-2.26107695843716;-2.09071889297417;0.183226657723532;0.521158831861996;0.339657368754467;1.56249634358258;23.5965454915401;8.06151487965873
RamshC_0080;-2.41141442049984;-2.23419424361941;0.219718436253344;0.595400766306703;0.254936057498296;1.76580434540231;22.6944841346735;9.62018795146686
RamshC_0081;-2.41288915859452;-2.23101766508925;0.192272189649786;0.655741396949098;0.274257099363393;1.39639780237536;18.2986575623688;10.1294739129872
RamshC_0082;-2.55410273723594;-2.41154723026432;0.173098608294855;0.664372152830951;0.269828683679949;1.42558025064791;19.2303476037036;9.94960145673313
RamshC_0083;-2.34537803139767;-2.17206953370652;0.178301179009559;0.62294714387202;0.321960121455448;1.28622659547413;16.0980950702975;9.07456867695109
RamshC_0084;-2.53223338125661;-2.30999254167618;0.198193935050518;0.64752244065628;0.269595747994977;1.48329869567052;26.4940829019852;9.9442969871386
RamshC_0085;-2.46028208099211;-2.3052412581599;0.183823267557006;0.618885074607105;0.285133584753717;1.50069333387324;22.1192559465114;9.66898271937321
RamshC_0086;-2.45214409620922;-2.38052327080814;0.206509203903652;0.597223718266395;0.262482498679032;1.68040279156301;13.3407914208723;9.57121702840571
RamshC_0087;-2.52074696619959;-2.35958453855653;0.174294716307474;0.658170959070878;0.261573429633059;1.4938061500625;20.4617265494374;9.32403277659693
RamshC_0088;-2.4007285610206;-2.18021557276213;0.172903653715926;0.60606635059277;0.322024689369285;1.36003264744954;22.8334698867348;8.90258568953755
RamshC_0089;-2.52795146388105;-2.37419963352212;0.186350413518053;0.625795444539667;0.260819044544028;1.64078735520733;23.6876319433615;9.28796518061381
RamshC_0090;-2.48766408412147;-2.34561727325531;0.165519314132993;0.588663527105542;0.29258382599833;1.57544076734388;20.4512486194609;9.45314436620334
RamshC_0091;-2.48194039290652;-2.19272133452934;0.209486961156898;0.624802355797957;0.27755605382758;1.53055934051355;29.7370852744024;8.57471774045329
RamshC_0092;-2.31649520143093;-2.19596105187097;0.209704912391908;0.591375995914318;0.302733794649179;1.50929878918664;25.2835826369218;8.34635222350662
RamshC_0093;-2.56783893817667;-2.34237390385007;0.193284250189516;0.681717388414342;0.241047621815671;1.55190134022973;28.3088004346772;9.63104013857263
RamshC_0094;-2.41493349471964;-2.22089309214033;0.192713567380761;0.625952001839192;0.273877538379899;1.51330526200985;19.4837606366106;9.4289361766458
RamshC_0095;-2.49676209717597;-2.36102534249788;0.188485138688592;0.623460911393296;0.287813704978323;1.54944693175223;32.6094362377464;8.40449158276649
RamshC_Wave kept separate1;-2.31955801550141;-2.08456958740556;0.154584035194137;0.57179298447302;0.342996082169044;1.38512145332761;15.3558373829309;7.053442700062
