snailID;ln(gw);ln(gh);r0;h0;a0;c;apAngle;shellLength
Crab92_01;-2.31242735428712;-2.11486095619606;0.235989211156879;0.67083530640265;0.289168748262904;1.25525974307996;25.807151963703;11.8245098642377
Crab92_02;-2.4058628324986;-2.31569278970828;0.207678059046428;0.664623566308015;0.291206168544251;1.29052266027917;21.5642127711977;10.5200498854939
Crab92_03;-2.5099690328107;-2.28285216330896;0.161725682480894;0.664584155646553;0.283446484488731;1.36936649713946;26.9536530287384;11.8512769222677
Crab92_04;-2.42477875645369;-2.2305547518051;0.184740568455207;0.680270857204033;0.262398329756845;1.39796597732462;24.3141298832746;11.3862228490827
Crab92_05;-2.35661692252438;-2.22471777022484;0.177628717237761;0.666082803139203;0.297908093652115;1.27227574231191;22.530826827099;11.9775076171224
Crab92_06;-2.53461165861906;-2.33819955119416;0.219494511308366;0.631561280069792;0.242066537240959;1.77105037648421;28.9117338457775;10.5732107698021
Crab92_07;-2.28316313610764;-2.12283100351737;0.201772056309207;0.642326665226541;0.301609229644071;1.33281481323848;25.4131728522373;10.629628241336
Crab92_08;-2.24501536666099;-2.08787560347128;0.199412607333691;0.648873501479305;0.326598740715389;1.18145349448777;18.8174167969388;11.9372843716679
Crab92_09;-2.36137336164784;-2.14774479896607;0.18878143613672;0.645175888431035;0.295505046272672;1.35413650337933;25.4172842419522;9.40573041993512
Crab92_10;-2.52629672394127;-2.32534339685084;0.192746864355031;0.644658531358124;0.278495537930945;1.46718935304042;29.2415027006141;10.8286615105284
Crab92_11;-2.41919482118094;-2.2082476216112;0.207213699286341;0.630413897618099;0.256980854055294;1.62175385871494;24.5014348045362;10.8021038516619
Crab92_12;-2.49685882151321;-2.2775528400273;0.185527673766946;0.675570157500435;0.26628794861887;1.41410376545064;29.0897391963685;10.3601266552018
Crab92_13;-2.28621644219418;-2.12389001987808;0.211610871719721;0.64013607952211;0.304822405248366;1.3752927600902;35.1773346919575;11.3023932899431
Crab92_14;-2.57665382413382;-2.35123421495061;0.196142975920518;0.712511823715008;0.236726802034483;1.45938343935693;31.7620822371729;11.7876240695191
Crab92_15;-2.47384978706417;-2.29461677763784;0.202146758764194;0.678637072258126;0.263104455248786;1.41126645020638;28.3481089832143;11.4236532600607
Crab92_16;-2.3583031203224;-2.21071378816168;0.205449372014313;0.628623826786847;0.28623300310996;1.46146904063534;25.3511399315883;9.56376873544483
Crab92_17;-2.40729531841705;-2.16784186901882;0.176940933852446;0.633803550510415;0.300522864149578;1.37785795901983;25.7804487030476;8.71432717768665
Crab92_18;-2.46539219725616;-2.3246727755753;0.158041807943099;0.651402838931092;0.296450818012115;1.34678206939402;21.8080139576474;10.6965903072292
Crab92_19;-2.44440001780661;-2.24908928116075;0.17717768118852;0.665378453880554;0.271701394685284;1.39097284724418;20.2126192342033;12.5260507782789
Crab92_20;-2.36666606466073;-2.27531936431757;0.198172004924141;0.682123464577287;0.267202985954759;1.42567505402539;32.8611537808543;9.88743451556439
Crab92_21;-2.41043671639519;-2.37775823624041;0.232027845496329;0.62482176357165;0.23977718175132;1.84548628175159;27.6524735746658;9.66816700265885
